Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Joe Rothwell,Bournemouth,Midfielder,0.0,1.07,33,0,1.6,17.29,15,0.27,0.16,0,0.14,6.6,6.6,0.0,5.0,3,1,2.9837251356238697,0.09165467625899282,0.08404605263157895,0.014794520547945205,,2.0,-0.16
Marcus Tavernier,Bournemouth,Midfielder,0.1,0.98,94,12,4.1,31.77,37,0.26,3.13,5,0.23,17.1,17.1,0.0,5.5,5,1,8.499095840867993,0.3307913669064748,0.19100877192982454,0.23890410958904107,,4.0,1.87
Hamed Traorè,Bournemouth,Midfielder,0.0,1.06,14,0,2.0,9.94,8,0.42,1.04,0,0.46,2.8,2.8,0.0,5.0,2,0,1.2658227848101267,0.060431654676258995,0.11979166666666666,0.019726027397260273,,1.0,-1.04
Shandon Baptiste,Brentford,Midfielder,4.7,0.6,29,0,1.3,7.51,6,0.15,0.32,0,0.13,6.4,6.4,0.0,4.5,1,1,1.6714697406340056,0.08115107913669065,0.07922149122807016,0.02958904109589041,,,-0.32
Sergi Canós Tenés,Brentford,Midfielder,0.1,0.0,5,0,1.0,1.79,2,0.0,0.07,0,0.14,1.0,1.0,0.0,5.0,0,0,0.2881844380403458,0.005035971223021583,0.007401315789473684,0.003287671232876712,,,-0.07
Mikkel Damsgaard,Brentford,Midfielder,0.1,0.84,33,0,1.3,14.89,14,0.28,2.31,0,0.33,6.6,6.6,0.0,5.0,3,4,1.9020172910662825,0.10086330935251799,0.09435307017543859,0.08328767123287671,,,-2.31
Josh Dasilva,Brentford,Midfielder,0.2,0.92,81,3,2.2,17.89,17,0.33,1.58,4,0.21,16.2,16.2,0.0,5.0,5,1,4.6685878962536025,0.22,0.11430921052631578,0.09972602739726026,4.0,,2.42
Vitaly Janelt,Brentford,Midfielder,0.1,0.98,85,5,2.4,29.68,28,0.33,2.33,3,0.16,15.5,15.5,0.0,5.5,8,3,4.899135446685879,0.2958273381294964,0.1418859649122807,0.13315068493150684,,,0.6699999999999999
Mathias Jensen,Brentford,Midfielder,1.0,1.19,132,11,3.6,40.47,40,0.32,2.34,5,0.23,24.0,24.0,0.0,5.5,10,5,7.60806916426513,0.4633093525179856,0.4319627192982456,0.11397260273972602,,2.0,2.66
Keane Lewis-Potter,Brentford,Midfielder,0.0,0.86,14,0,1.4,4.15,4,0.0,0.49,0,0.22,2.8,2.8,0.0,5.0,0,0,0.8069164265129682,0.030215827338129497,0.03508771929824561,0.06246575342465753,,,-0.49
Bryan Mbeumo,Brentford,Midfielder,12.8,1.12,150,19,3.9,41.96,39,0.31,9.48,9,0.46,23.1,23.1,0.0,6.5,10,5,8.645533141210375,0.49827338129496407,0.4433114035087719,0.4904109589041096,2.0,1.0,-0.4800000000000004
Christian Nørgaard,Brentford,Midfielder,0.2,1.07,71,6,3.2,25.13,23,0.31,1.64,1,0.17,12.9,12.9,0.0,5.5,6,6,4.092219020172911,0.27280575539568347,0.09523026315789472,0.1473972602739726,,,-0.6399999999999999
Frank Onyeka,Brentford,Midfielder,0.0,0.86,38,0,1.8,15.65,11,0.32,1.03,0,0.19,7.6,7.6,0.0,5.0,3,0,2.190201729106628,0.0981294964028777,0.05137061403508772,0.060821917808219175,,,-1.03
Kevin Schade,Brentford,Midfielder,0.2,0.87,29,0,1.6,7.18,7,0.37,2.07,0,0.34,5.3,5.3,0.0,5.5,3,2,1.6714697406340056,0.053525179856115115,0.06332236842105263,0.11452054794520547,,,-2.07
Yasin Ayari,Brighton,Midfielder,0.1,1.38,3,0,1.0,1.45,2,0.0,0.02,0,0.45,0.7,0.7,0.0,4.5,0,0,0.2073255010366275,0.005323741007194245,0.013980263157894735,0.001643835616438356,,,-0.02
Facundo Buonanotte,Brighton,Midfielder,0.1,0.97,26,2,2.0,11.93,12,0.16,1.3,1,0.27,5.2,5.2,0.0,5.0,1,2,1.796821008984105,0.06474820143884892,0.05531798245614035,0.0558904109589041,,,-0.30000000000000004
Moisés Caicedo Corozo,Brighton,Midfielder,3.0,0.98,79,0,2.1,45.9,47,0.29,1.67,1,0.12,15.8,15.8,0.0,5.0,10,10,5.459571527297857,0.4243165467625899,0.37302631578947365,0.11506849315068492,,,-0.6699999999999999
Julio Enciso,Brighton,Midfielder,6.6,0.79,57,7,2.9,14.76,12,0.45,3.93,4,0.58,10.4,10.4,0.0,5.5,4,1,3.9391845196959228,0.18906474820143887,0.09731359649122806,0.21863013698630135,,,0.06999999999999984
Billy Gilmour,Brighton,Midfielder,0.1,1.25,21,0,1.5,9.35,8,0.36,0.5,0,0.23,4.2,4.2,0.0,5.0,2,1,1.4512785072563925,0.04863309352517985,0.030975877192982455,0.018082191780821915,,,-0.5
Pascal Groß,Brighton,Midfielder,4.9,1.03,159,14,4.3,48.43,51,0.31,5.19,9,0.39,24.5,24.5,0.0,6.5,11,7,10.988251554941257,0.660863309352518,0.6729714912280701,0.3189041095890411,2.0,1.0,3.8099999999999996
Adam Lallana,Brighton,Midfielder,0.1,1.51,47,4,2.9,10.59,10,0.63,0.88,2,0.26,9.4,9.4,0.0,5.0,5,0,3.2480995162404978,0.1037410071942446,0.10235745614035087,0.08328767123287671,,,1.12
Solly March,Brighton,Midfielder,2.7,1.03,147,16,4.5,37.58,40,0.33,7.01,6,0.43,22.6,22.6,0.0,6.5,10,2,10.158949550794748,0.5696402877697841,0.5294956140350877,0.5232876712328767,,2.0,-1.0099999999999998
James Milner,Brighton,Midfielder,0.2,0.71,42,0,1.4,13.56,12,0.3,0.4,0,0.21,8.4,8.4,0.0,5.0,3,2,2.902557014512785,0.12920863309352518,0.12209429824561402,0.05095890410958904,,,-0.4
Kaoru Mitoma,Brighton,Midfielder,38.3,0.93,138,11,4.2,35.52,35,0.31,8.29,7,0.51,21.2,21.2,0.0,6.5,8,0,9.536973047684866,0.4097841726618705,0.3121710526315789,0.4750684931506849,,,-1.2899999999999991
Jeremy Sarmiento Morante,Brighton,Midfielder,0.1,0.54,16,0,1.8,2.76,2,0.54,0.33,0,0.32,3.6,3.6,0.0,4.5,1,1,1.10573600552868,0.03352517985611511,0.02094298245614035,0.0273972602739726,,,-0.33
Nathan Redmond,Burnley,Midfielder,0.1,0.0,1,0,1.0,0.02,0,0.0,0.0,0,0.0,0.2,0.2,0.0,5.0,0,0,4.0,0.0,0.0,0.0,,,0.0
